,Unnamed: 0,날짜,지역,평균기온(°C),평균 상대습도(%),최고기온(°C),최저기온(°C),평균 풍속(m/s),평균 해면기압(hPa),평균 전운량(1/10)
0,0,2020-06-03,강원도,17.674365997314453,69.25950622558594,22.50890350341797,12.14949893951416,1.70245623588562,1008.7078857421876,6.355540752410889
1,1,2020-06-02,강원도,17.702558517456055,88.22464752197266,23.51105880737305,12.06295108795166,2.0989394187927246,1010.03369140625,4.448240280151367
2,2,2020-06-01,강원도,17.65926170349121,90.49497985839844,23.933311462402344,12.163679122924805,2.4006385803222656,1010.2235107421876,7.665731906890869
3,3,2020-05-31,강원도,17.657445907592773,71.0180435180664,23.723012924194336,12.225781440734865,3.09407114982605,1010.01416015625,5.896929740905763
4,4,2020-05-30,강원도,17.695890426635742,70.6866226196289,23.612306594848636,12.264643669128418,2.588550090789795,1009.6862182617188,1.9593844413757324
0,0,2020-06-03,경기도,17.094099044799805,71.1611099243164,23.823041915893555,10.664627075195312,1.1074318885803225,1009.2974853515624,6.201042652130128
1,1,2020-06-02,경기도,17.73440933227539,64.06984710693361,24.1226863861084,10.024418830871582,1.53660786151886,1010.4672241210938,6.811262130737305
2,2,2020-06-01,경기도,17.88667106628418,65.87433624267578,24.09876251220703,10.60415267944336,1.0221858024597168,1010.7112426757812,7.16790246963501
3,3,2020-05-31,경기도,17.84725570678711,74.11334991455078,24.132583618164066,11.159744262695312,1.0853062868118286,1010.89453125,6.331958770751952
4,4,2020-05-30,경기도,17.826345443725586,80.68949127197266,24.16999053955078,11.340152740478516,1.3733891248703003,1010.9140625,9.175207138061523
0,0,2020-06-03,경상남도,20.90985870361328,61.83352661132813,27.50736427307129,11.242166519165039,1.8066531419754028,1008.9036254882812,7.150623321533202
1,1,2020-06-02,경상남도,19.988439559936523,61.698524475097656,27.25194549560547,10.88113784790039,2.2582566738128658,1009.9755249023438,5.989072799682617
2,2,2020-06-01,경상남도,20.266483306884766,60.77983856201172,27.15174102783203,11.597975730895994,1.2873581647872925,1010.1947021484376,4.591667175292969
3,3,2020-05-31,경상남도,19.90107727050781,72.39874267578125,27.20655059814453,12.22207260131836,1.8432042598724363,1009.8180541992188,5.562090396881104
4,4,2020-05-30,경상남도,20.21573829650879,72.20831298828125,27.2910270690918,12.505849838256836,1.7518320083618164,1009.5970458984376,5.176070213317871
0,0,2020-06-03,경상북도,19.29827690124512,62.48417282104492,25.667144775390625,11.6734037399292,2.2451424598693848,1009.0337524414062,6.768321514129639
1,1,2020-06-02,경상북도,18.901382446289066,61.64168930053711,25.19170379638672,10.934222221374512,2.1592183113098145,1010.5515747070312,5.666372776031494
2,2,2020-06-01,경상북도,18.949522018432614,67.24947357177734,25.17536735534668,11.302478790283205,2.3522002696990967,1010.68408203125,8.234910011291504
3,3,2020-05-31,경상북도,18.997791290283203,71.36141967773438,25.2613468170166,11.597253799438475,1.7746367454528809,1010.3353271484376,6.108062267303468
4,4,2020-05-30,경상북도,19.034202575683594,62.04680633544922,25.34443664550781,11.651651382446287,2.1947767734527592,1009.9969482421876,4.009077548980713
0,0,2020-06-03,대구광역시,20.966604232788086,42.663970947265625,28.48686981201172,13.330562591552734,2.9856438636779785,1009.2838134765624,4.626967430114746
1,1,2020-06-02,대구광역시,20.451513290405273,59.29472351074219,27.928014755249023,13.146492958068848,3.4529001712799072,1010.0780639648438,5.102766036987305
2,2,2020-06-01,대구광역시,20.39464569091797,50.89349746704102,27.970144271850586,14.032233238220215,2.8189797401428223,1010.4314575195312,5.016956329345703
3,3,2020-05-31,대구광역시,20.520511627197266,59.941871643066406,28.03169059753418,14.501355171203613,2.469744205474853,1010.557861328125,7.538298606872559
4,4,2020-05-30,대구광역시,20.639545440673828,53.62489700317383,28.015722274780273,14.681744575500488,2.6164791584014893,1010.2333984375,7.866884231567383
0,0,2020-06-03,대전광역시,19.57501220703125,66.47217559814453,25.541547775268555,14.419350624084473,1.3665887117385864,1009.7531127929688,7.586079597473144
1,1,2020-06-02,대전광역시,19.3537540435791,75.62628173828125,26.370121002197266,13.877277374267578,1.9781855344772337,1011.4794311523438,5.582390785217285
2,2,2020-06-01,대전광역시,19.278400421142575,73.97743225097656,26.302839279174805,13.706158638000488,1.9683374166488647,1011.3717041015624,7.8474369049072275
3,3,2020-05-31,대전광역시,19.303504943847656,68.07046508789061,26.434410095214844,13.637578964233398,2.108195304870605,1010.8616943359376,7.789261341094972
4,4,2020-05-30,대전광역시,19.40675163269043,64.14749145507811,26.466293334960934,13.636521339416506,1.7065269947052002,1010.37939453125,5.905592918395996
0,0,2020-06-03,부산광역시,21.07408905029297,75.82361602783203,24.43873405456543,17.487049102783207,4.247591495513916,1009.7779541015624,-0.2883410453796387
1,1,2020-06-02,부산광역시,20.87677383422852,83.08006286621094,24.26866912841797,17.169294357299805,3.954576015472412,1010.6873168945312,3.6071453094482417
2,2,2020-06-01,부산광역시,20.684171676635746,67.10847473144531,24.272178649902344,16.945711135864258,4.208895206451416,1011.07568359375,10.126659393310547
3,3,2020-05-31,부산광역시,20.63371467590332,64.83621978759766,24.337669372558594,16.852352142333984,3.063793182373047,1011.2658081054688,11.219461441040039
4,4,2020-05-30,부산광역시,20.55632972717285,49.496742248535156,24.39248466491699,16.844120025634766,2.0936813354492188,1011.1605224609376,11.470973014831545
0,0,2020-06-03,서울특별시,18.423410415649414,76.44845581054688,22.854766845703125,14.195477485656738,2.1009361743926998,1008.5325927734376,8.515660285949707
1,1,2020-06-02,서울특별시,18.744155883789066,70.53131866455078,23.63737487792969,14.240452766418455,2.153078317642212,1010.0408325195312,7.439077377319336
2,2,2020-06-01,서울특별시,18.98973655700684,63.62899780273438,23.97494506835937,14.248712539672852,2.456995010375977,1010.306884765625,5.279984951019287
3,3,2020-05-31,서울특별시,19.179929733276367,72.74209594726562,24.16734313964844,14.261571884155273,2.3007116317749023,1010.2538452148438,6.4642109870910645
4,4,2020-05-30,서울특별시,19.327045440673828,62.28544998168945,24.298324584960934,14.303633689880373,2.317910432815552,1010.179443359375,7.455951690673827
0,0,2020-06-03,울산광역시,20.219219207763672,58.75529861450195,26.09904479980469,15.288089752197266,1.3519514799118042,1009.5501098632812,3.414609670639038
1,1,2020-06-02,울산광역시,19.714637756347656,60.19402313232422,25.63978385925293,14.503270149230955,1.442660212516785,1010.8825073242188,6.513449192047119
2,2,2020-06-01,울산광역시,19.441606521606445,72.46412658691406,25.51894187927246,13.861127853393555,1.8893648386001587,1010.9069213867188,3.628506422042847
3,3,2020-05-31,울산광역시,19.42829704284668,49.85618591308594,25.58282470703125,13.522857666015625,2.0475635528564453,1010.6016235351562,3.3753538131713867
4,4,2020-05-30,울산광역시,19.54297637939453,54.94339370727539,25.67534255981445,13.718995094299315,1.5129766464233398,1010.3135986328124,5.622464179992676
0,0,2020-06-03,인천광역시,15.788566589355467,93.65335845947266,19.884571075439453,12.606637954711914,3.38883376121521,1007.8113403320312,6.126675605773926
1,1,2020-06-02,인천광역시,15.591675758361815,88.6690444946289,19.921756744384766,12.635169982910154,2.90696382522583,1009.28857421875,6.000611305236816
2,2,2020-06-01,인천광역시,15.60796070098877,82.09772491455078,20.36233139038086,12.56576919555664,3.3607282638549805,1009.8368530273438,8.089128494262695
3,3,2020-05-31,인천광역시,15.703228950500488,71.99439239501953,20.523080825805664,12.39409351348877,3.2738518714904785,1009.9354248046876,9.865435600280762
4,4,2020-05-30,인천광역시,15.826136589050293,74.15370178222656,20.61952018737793,12.31176471710205,2.5805392265319824,1009.6197509765624,8.677248001098633
0,0,2020-06-03,전라남도,18.892213821411133,72.56578063964844,24.64571762084961,10.059019088745117,2.5923094749450684,1009.2247924804688,9.260552406311037
1,1,2020-06-02,전라남도,18.47247886657715,78.57362365722656,23.68566131591797,9.266119003295898,3.284209728240967,1010.7548217773438,5.8552303314208975
2,2,2020-06-01,전라남도,18.487234115600586,80.69210052490234,23.65471076965332,9.901537895202637,2.567509412765503,1010.9992065429688,5.678238391876222
3,3,2020-05-31,전라남도,18.595985412597656,77.26372528076172,23.22384834289551,10.640517234802246,2.37769103050232,1011.0086059570312,7.034457683563232
4,4,2020-05-30,전라남도,18.686107635498047,71.49684143066406,23.146892547607425,11.021788597106934,2.6961655616760254,1011.0007934570312,4.408834457397461
0,0,2020-06-03,전라북도,19.398387908935547,62.18581008911133,25.21095085144043,11.56157684326172,2.085654258728028,1008.6553955078124,6.212353706359862
1,1,2020-06-02,전라북도,18.7166690826416,62.16564559936523,24.79762458801269,11.936378479003904,2.2361273765563965,1010.6354370117188,4.2862887382507315
2,2,2020-06-01,전라북도,18.65166664123535,68.78053283691406,24.74535179138184,12.101492881774902,1.8893299102783203,1011.0926513671876,1.201972484588623
3,3,2020-05-31,전라북도,18.735429763793945,66.82601928710939,24.81924247741699,12.125732421875,2.0929934978485107,1011.14013671875,2.642498016357422
4,4,2020-05-30,전라북도,18.762720108032227,59.44702911376953,24.913021087646484,12.142196655273438,2.281266689300537,1011.158935546875,3.2204821109771733
0,0,2020-06-03,제주도,18.32733726501465,78.2945556640625,22.07736015319824,12.968297958374025,4.44550895690918,1010.0691528320312,4.359720230102538
1,1,2020-06-02,제주도,18.171504974365234,78.32182312011719,21.87775039672852,12.484151840209961,4.1098055839538565,1011.6089477539062,5.077046871185303
2,2,2020-06-01,제주도,18.18296241760254,92.48040771484376,21.840961456298828,12.666918754577635,3.089737892150879,1011.810791015625,5.869173049926758
3,3,2020-05-31,제주도,18.230194091796875,92.85554504394531,21.878826141357425,12.798646926879885,3.202326536178589,1011.9647827148438,2.8639416694641118
4,4,2020-05-30,제주도,18.289743423461914,89.61415100097656,21.94564819335937,13.13943099975586,3.314821481704712,1012.124755859375,3.22256088256836
0,0,2020-06-03,충청남도,17.767732620239258,60.45380783081055,23.22298812866211,12.109396934509276,1.4506376981735232,1009.6736450195312,7.910684585571289
1,1,2020-06-02,충청남도,17.81566047668457,53.40086364746094,23.77290916442871,11.995861053466795,2.065579891204834,1011.6897583007812,9.83016872406006
2,2,2020-06-01,충청남도,17.829288482666016,60.77454376220703,23.96907615661621,12.05644989013672,1.3480700254440308,1011.8638305664062,8.23049259185791
3,3,2020-05-31,충청남도,17.871532440185547,53.29841232299805,24.162153244018555,12.055746078491213,1.1990280151367188,1011.865234375,6.663317680358888
4,4,2020-05-30,충청남도,17.957683563232422,63.29706573486328,24.320802688598636,12.051610946655273,1.3253929615020752,1011.9819946289062,6.291872501373291
0,0,2020-06-03,충청북도,18.4725341796875,68.51532745361328,24.779529571533203,10.86270523071289,1.3103095293045044,1009.992919921875,8.182987213134767
1,1,2020-06-02,충청북도,18.46991539001465,76.22354888916016,25.056730270385746,11.088959693908693,1.549720287322998,1011.8378295898438,6.003714084625244
2,2,2020-06-01,충청북도,18.497520446777344,73.44470977783203,25.01420974731445,11.592005729675293,2.952338695526123,1012.3336791992188,5.326432228088379
3,3,2020-05-31,충청북도,18.557905197143555,72.30877685546875,24.98223876953125,11.856735229492188,2.8482673168182373,1012.613525390625,6.999763488769531
4,4,2020-05-30,충청북도,18.6600341796875,68.84552764892578,25.00774955749512,11.986166954040527,2.3043057918548584,1012.6979370117188,5.963789939880371
